iter	Passed	Remaining
484	587	624
485	589	623
486	590	621
487	591	620
488	593	620
489	594	618
490	595	617
491	596	616
492	597	614
493	598	613
494	599	611
495	600	610
496	601	609
497	602	607
498	603	606
499	604	604
500	605	602
501	606	602
502	608	601
503	609	600
504	612	600
505	613	598
506	614	597
507	615	596
508	617	595
509	618	593
510	619	592
511	620	591
512	622	590
513	623	589
514	625	588
515	626	588
516	627	586
517	628	585
518	629	583
519	630	582
520	631	580
521	632	578
522	632	577
523	633	575
524	634	573
525	635	572
526	636	570
527	637	569
528	638	568
529	638	566
530	639	564
531	640	563
532	641	562
533	642	560
534	643	559
535	644	557
536	644	556
537	645	554
538	646	553
539	647	551
540	648	550
541	649	549
542	650	547
543	651	546
544	652	544
545	653	543
546	654	542
547	655	540
548	656	539
549	657	538
550	658	536
551	659	535
552	660	533
553	661	532
554	661	530
555	662	529
556	663	527
557	665	526
558	666	525
559	667	524
560	668	523
561	669	521
562	670	520
563	671	518
564	672	517
565	673	516
566	674	514
567	674	513
568	675	511
569	676	510
570	677	508
571	677	507
572	679	506
573	680	504
574	681	503
575	682	502
576	683	501
577	684	499
578	685	498
579	686	497
580	687	495
581	688	494
582	688	492
583	689	491
584	690	489
585	691	488
586	692	486
587	693	485
588	694	484
589	695	483
590	697	482
591	698	481
592	699	480
593	700	478
594	701	477
595	702	476
596	703	474
597	704	473
598	705	472
599	705	470
600	706	469
601	707	468
602	709	466
603	710	465
604	711	464
605	712	463
606	713	462
607	715	461
608	716	459
609	717	458
610	719	457
611	720	456
612	720	455
613	721	453
614	723	452
615	724	451
616	725	450
617	726	449
618	728	448
619	729	447
620	730	446
621	731	444
622	732	443
623	733	442
624	734	440
625	735	439
626	737	438
627	738	437
628	739	436
629	740	435
630	741	433
631	742	432
632	743	431
633	745	430
634	746	428
635	746	427
636	747	426
637	748	424
638	749	423
639	750	422
640	751	420
641	752	419
642	753	418
643	754	417
644	755	415
645	756	414
646	757	413
647	758	412
648	759	411
649	761	409
650	761	408
651	762	407
652	764	406
653	764	404
654	765	403
655	767	402
656	768	401
657	769	399
658	770	398
659	771	397
660	773	396
661	774	395
662	775	394
663	776	392
664	776	391
665	777	390
666	778	388
667	779	387
668	780	386
669	781	384
670	782	383
671	783	382
672	784	381
673	785	379
674	786	378
675	787	377
676	788	376
677	789	375
678	790	373
679	791	372
680	792	371
681	793	369
682	794	368
683	795	367
684	797	366
685	798	365
686	799	364
687	800	363
688	801	361
689	802	360
690	803	359
691	804	357
692	805	356
693	805	355
694	806	353
695	807	352
696	808	351
697	809	350
698	810	348
699	811	347
700	812	346
701	814	345
702	815	344
703	816	343
704	817	342
705	818	340
706	819	339
707	820	338
708	821	337
709	822	336
710	823	334
711	824	333
712	826	332
713	827	331
714	828	330
715	829	328
716	830	327
717	831	326
718	832	325
719	833	323
720	833	322
721	834	321
722	835	320
723	836	318
724	837	317
725	837	316
726	839	315
727	840	314
728	841	312
729	842	311
730	843	310
731	845	309
732	846	308
733	847	306
734	848	305
735	849	304
736	850	303
737	850	302
738	851	300
739	852	299
740	853	298
741	854	297
742	855	296
743	856	294
744	857	293
745	858	292
746	859	291
747	860	289
748	861	288
749	862	287
750	863	286
751	864	285
752	865	283
753	866	282
754	866	281
755	867	280
756	868	278
757	869	277
758	870	276
759	871	275
760	872	274
761	873	272
762	874	271
763	875	270
764	876	269
765	877	268
766	878	266
767	879	265
768	880	264
769	880	263
770	881	261
771	882	260
772	883	259
773	883	258
774	885	256
775	886	255
776	886	254
777	887	253
778	888	252
779	889	250
780	890	249
781	891	248
782	892	247
783	893	246
784	894	244
785	895	243
786	896	242
787	896	241
788	897	240
789	898	238
790	900	237
791	901	236
792	902	235
793	903	234
794	903	233
795	904	231
796	905	230
797	906	229
798	907	228
799	908	227
800	908	225
801	909	224
802	910	223
803	911	222
804	911	220
805	912	219
806	914	218
807	915	217
808	916	216
809	917	215
810	918	213
811	919	212
812	920	211
813	921	210
814	922	209
815	923	208
816	924	206
817	924	205
818	925	204
819	926	203
820	927	202
821	928	201
822	929	199
823	930	198
824	932	197
825	933	196
826	934	195
827	934	194
828	935	193
829	936	191
830	937	190
831	938	189
832	939	188
833	939	187
834	940	185
835	941	184
836	942	183
837	943	182
838	945	181
839	946	180
840	947	179
841	948	177
842	948	176
843	949	175
844	950	174
845	951	173
846	951	171
847	952	170
848	953	169
849	954	168
850	955	167
851	955	166
852	956	164
853	957	163
854	958	162
855	960	161
856	961	160
857	962	159
858	963	158
859	964	157
860	965	155
861	966	154
862	966	153
863	967	152
864	968	151
865	969	149
866	969	148
867	970	147
868	971	146
869	972	145
870	973	144
871	974	143
872	975	141
873	976	140
874	977	139
875	978	138
876	979	137
877	980	136
878	980	135
879	981	133
880	982	132
881	983	131
882	983	130
883	984	129
884	985	128
885	986	126
886	987	125
887	988	124
888	989	123
889	990	122
890	991	121
891	992	120
892	993	119
893	994	117
894	994	116
895	995	115
896	996	114
897	997	113
898	998	112
899	999	111
900	1000	109
901	1000	108
902	1001	107
903	1002	106
904	1003	105
905	1004	104
906	1005	103
907	1006	102
908	1007	100
909	1008	99
910	1009	98
911	1010	97
912	1011	96
913	1012	95
914	1012	94
915	1013	92
916	1014	91
917	1014	90
918	1015	89
919	1016	88
920	1017	87
921	1019	86
922	1020	85
923	1020	83
924	1021	82
925	1022	81
926	1023	80
927	1024	79
928	1025	78
929	1026	77
930	1026	76
931	1027	74
932	1028	73
933	1029	72
934	1029	71
935	1030	70
936	1032	69
937	1033	68
938	1034	67
939	1035	66
940	1036	64
941	1037	63
942	1038	62
943	1039	61
944	1039	60
945	1040	59
946	1041	58
947	1042	57
948	1043	56
949	1044	54
950	1045	53
951	1046	52
952	1047	51
953	1049	50
954	1050	49
955	1051	48
956	1052	47
957	1053	46
958	1054	45
959	1055	43
960	1056	42
961	1057	41
962	1057	40
963	1058	39
964	1059	38
965	1061	37
966	1062	36
967	1064	35
968	1065	34
969	1066	32
970	1067	31
971	1068	30
972	1069	29
973	1070	28
974	1071	27
975	1072	26
976	1073	25
977	1073	24
978	1074	23
979	1076	21
980	1077	20
981	1078	19
982	1079	18
983	1080	17
984	1081	16
985	1082	15
986	1083	14
987	1084	13
988	1085	12
989	1086	10
990	1087	9
991	1088	8
992	1088	7
993	1089	6
994	1091	5
995	1092	4
996	1093	3
997	1095	2
998	1096	1
999	1097	0
